CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13
2009-12-01,1.0,0.353,0.333,0.425,0.378,0.359,0.377,0.343,0.337,0.361,0.421,0.496,0.248
2010-01-01,1.0,0.207,0.312,0.306,0.264,0.301,0.259,0.23,0.277,0.317,0.301,0.099,
2010-02-01,1.0,0.233,0.225,0.292,0.244,0.196,0.191,0.286,0.255,0.276,0.072,,
2010-03-01,1.0,0.191,0.232,0.241,0.232,0.205,0.246,0.305,0.278,0.08,,,
2010-04-01,1.0,0.191,0.191,0.16,0.184,0.222,0.276,0.263,0.068,,,,
2010-05-01,1.0,0.157,0.169,0.173,0.177,0.256,0.213,0.079,,,,,
2010-06-01,1.0,0.176,0.187,0.206,0.232,0.285,0.067,,,,,,
2010-07-01,1.0,0.157,0.184,0.297,0.292,0.103,,,,,,,
2010-08-01,1.0,0.198,0.29,0.327,0.111,,,,,,,,
2010-09-01,1.0,0.23,0.234,0.105,,,,,,,,,
2010-10-01,1.0,0.259,0.093,,,,,,,,,,
2010-11-01,1.0,0.107,,,,,,,,,,,
2010-12-01,1.0,,,,,,,,,,,,
