InvoiceMonth,Revenue,NumOrders,NumCustomers,Revenue_Rolling_3
2009-12-01,678029.57,1502,952,678029.57
2010-01-01,537341.502,995,718,607685.536
2010-02-01,497937.576,1095,773,571102.8826666666
2010-03-01,665973.671,1509,1051,567084.2496666666
2010-04-01,585149.932,1316,939,583020.393
2010-05-01,592734.13,1365,965,614619.2443333333
2010-06-01,629540.45,1482,1035,602474.8373333333
2010-07-01,581487.96,1362,924,601254.18
2010-08-01,594561.17,1276,910,601863.1933333334
2010-09-01,805544.811,1659,1136,660531.3136666667
2010-10-01,1011571.5,2108,1492,803892.4936666667
2010-11-01,1155978.392,2570,1606,991031.5676666667
2010-12-01,308302.12,774,572,825284.0040000001
