StockCode,Description,Revenue,Quantity,NumOrders
10002,INFLATABLE POLITICAL GLOBE,6057.72,7796,258
10080,GROOVY CACTUS INFLATABLE,10.2,12,5
10109,BENDY COLOUR PENCILS,1.68,4,1
10120,DOGGY RUBBER,98.91,471,36
10125,MINI FUNKY DESIGN TAPES,669.8,788,63
10133,COLOURING PENCILS BROWN TUBE,799.85,967,88
10134,COLOURING PENCILS BROWN TUBE,702.3,612,48
10135,COLOURING PENCILS BROWN TUBE,2302.7,1982,136
10138,ASSORTED COLOUR JUMBO PEN,103.74,247,16
11001,ASSTD DESIGN RACING CAR PEN,4738.62,3070,120
15030,FAN BLACK FRAME,32.19,111,14
15034,PAPER POCKET TRAVELING FAN,462.70000000000005,3425,84
15036,ASSORTED COLOURS SILK FAN,12784.880000000001,19202,316
15039,SANDALWOOD FAN,1729.35,2603,112
16008,SMALL FOLDING SCISSOR(POINTED EDGE),62.75,251,16
16010,FOLDING CAMPING SCISSOR W/KNIF & S,1.68,14,2
16011,ANIMAL STICKERS,441.69,2109,68
16012,FOOD/DRINK SPONGE STICKERS,193.62,922,28
16012,FOOD/DRINK SPUNGE STICKERS,158.19,759,20
16014,SMALL CHINESE STYLE SCISSOR,5503.22,17041,42
16015,MEDIUM CHINESE STYLE SCISSOR,421.9,911,42
16016,LARGE CHINESE STYLE SCISSOR,831.7,1058,44
16033,MINI HIGHLIGHTER PENS,1429.32,14161,45
16043,POP ART PUSH DOWN RUBBER,167.28,2044,10
16044,POP-ART FLUORESCENT PENS,388.8,6192,2
16045,POPART WOODEN PENCILS ASST,48.0,400,4
16046,TEATIME PEN CASE & PENS,989.98,9886,33
16047,POP ART PEN CASE & PENS,1015.59,10587,23
16048,TEATIME ROUND PENCIL SHARPENER,311.94,1977,22
16049,TEATIME GEL PENS ASST,460.79999999999995,2640,20
16050,TEATIME PENCIL WITH RUBBER,30.5,122,4
16051,TEATIME PENCIL W STAMP ASST,82.2,938,3
16052,TEATIME PUSH DOWN RUBBER,144.06,343,15
16053,POPART COL BALLPOINT PEN ASST,182.58,4298,8
16054,POPART RECT PENCIL SHARPENER ASST,16.38,39,4
16119,FUNKY GIRL ADDRESS BOOK,128.21,271,7
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,232.05,357,30
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,5.2,8,3
16216,LETTER SHAPE PENCIL SHARPENER,131.04000000000002,819,37
16218,CARTOON  PENCIL SHARPENERS,122.4,765,20
16219,HOUSE SHAPE PENCIL SHARPENER,61.11,291,19
16225,RATTLE SNAKE EGGS,481.8,660,37
16235,RECYCLED PENCIL WITH RABBIT ERASER,524.1,2510,82
16236,KITTY PENCIL ERASERS,237.09,1129,70
16237,SLEEPING CAT ERASERS,1165.26,5656,189
16238,PARTY TIME PENCIL ERASERS,216.29999999999998,1030,60
16239,BALLERINA HEART DECORATION.,468.4,338,13
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,230.45,881,10
16259,PIECE OF CAMO STATIONERY SET,439.53,2093,24
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,278.46999999999997,1139,22
17003,BROCADE RING PURSE,8847.66,48166,188
17021,NAMASTE SWAGAT INCENSE,494.7,1925,30
17033,"BROCADE PURSE,SMALL ARCH BUTTON",867.55,3279,68
17038,PORCELAIN BUDAH INCENSE HOLDER,94.30000000000001,1123,12
17039,INLAID WOOD INCENSE HOLDER,813.0899999999999,3641,30
17061,ASSORTED SHAPED STENCIL FOR HENNA,2.08,52,1
17096,ASSORTED LAQUERED INCENSE HOLDERS,637.89,3641,22
17174,ASSTD RASTA KEY-CHAINS,11.34,27,4
17178,FLAT PALM T-LIGHT HOLDER,156.65,133,24
17181,CIRCLE OF FRIENDS CANDLE HOLDER,341.7,294,28
18007,ESSENTIAL BALM 3.5G TIN IN ENVELOPE,637.92,5504,36
18010,ASSORTED FRAGRANCE BATH CONFETTI,23.52,56,6
20615,BLUE POLKADOT PASSPORT COVER,18.900000000000002,9,9
20615,BLUE SPOTTY PASSPORT COVER,341.20000000000005,222,38
20616,CHERRY BLOSSOM PASSPORT COVER,117.60000000000001,56,20
20617,FIRST CLASS PASSPORT COVER,726.1400000000001,386,48
20618,QUEEN OF THE SKIES PASSPORT COVER,264.6,126,47
20619,TROPICAL PASSPORT COVER,360.1,231,46
20620,RED SPOTTY PASSPORT COVER,2.1,1,1
20621,ECONOMY PASSPORT COVER,417.90000000000003,199,29
20622,VIPPASSPORT COVER,676.1,361,50
20652,BLUE POLKADOT LUGGAGE TAG,17.5,14,13
20652,BLUE SPOTTY LUGGAGE TAG,486.0,1056,44
20653,CHERRY BLOSSOM LUGGAGE TAG,385.22,1894,25
20654,FIRST CLASS LUGGAGE TAG,287.94,234,61
20655,QUEEN OF SKIES LUGGAGE TAG,216.91,179,60
20657,TROPICAL LUGGAGE TAG,459.0,1632,50
20658,RED RETROSPOT LUGGAGE TAG,190.0,152,43
20658,RED SPOTTY LUGGAGE TAG,1090.44,876,125
20659,ECONOMY LUGGAGE TAG,242.5,194,61
20660,VIP LUGGAGE TAG,88.75,71,26
20661,BLUE POLKADOT PURSE,186.70000000000002,346,8
20661,BLUE SPOTTY PURSE,443.3500000000001,433,30
20662,FIRST CLASS HOLIDAY PURSE,353.30000000000007,686,20
20663,QUEEN OF THE SKIES HOLIDAY PURSE,265.5,1034,12
20664,TROPICAL HOLIDAY PURSE,73.75,25,13
20665,RED RETROSPOT PURSE,428.8500000000001,147,31
20665,RED SPOTTY PURSE,2051.9,698,123
20666,ECONOMY HOLIDAY PURSE,328.85,867,18
20667,CHERRY BLOSSOM PURSE,59.00000000000001,20,8
20668,DISCO BALL CHRISTMAS DECORATION,982.6,8710,141
20669,RED HEART LUGGAGE TAG,556.47,447,93
20670,VIP HOLIDAY PURSE,267.20000000000005,656,16
20671,BLUE TEATIME PRINT BOWL,900.07,731,106
20672,PINK TEATIME PRINT BOWL,145.0,116,22
20673,STRAWBERRIES PRINT BOWL,6.25,5,2
20674,GREEN POLKADOT BOWL,326.25,261,39
20674,GREEN SPOTTY BOWL,1816.53,1497,176
20675,BLUE POLKADOT BOWL,580.14,486,58
20675,BLUE SPOTTY BOWL,3197.16,2700,258
20676,RED RETROSPOT BOWL,1009.03,851,87
