Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346,165,11,372.86,2,5,2,252,Others
12347,3,2,1323.32,5,2,4,524,Others
12348,74,1,221.16,2,1,1,211,At Risk
12349,43,2,2221.14,3,2,5,325,Others
12351,11,1,300.93,5,1,2,512,Others
12352,11,2,343.8,5,2,2,522,Others
12353,44,1,317.76,3,1,2,312,Others
12355,203,1,488.21000000000004,1,1,2,112,At Risk
12356,16,3,3124.3,4,3,5,435,Potential Loyalists
12357,24,1,11229.99,4,1,5,415,Others
12358,11,3,2519.01,5,3,5,535,Potential Loyalists
12359,61,6,2563.36,3,4,5,345,Loyal Customers
12360,28,3,1310.83,4,3,4,434,Potential Loyalists
12361,98,3,276.35,2,3,2,232,Others
12366,269,1,500.24,1,1,3,113,At Risk
12368,264,1,917.6999999999999,1,1,3,113,At Risk
12369,49,3,1511.15,3,3,4,334,Potential Loyalists
12370,260,3,534.62,1,3,3,133,Others
12371,45,3,1819.42,3,3,4,334,Potential Loyalists
12373,260,2,603.0500000000001,1,2,3,123,At Risk
12374,57,2,2046.29,3,2,4,324,Others
12376,25,2,383.15,4,2,2,422,Others
12377,17,2,1718.2,4,2,4,424,Others
12378,198,1,1407.7,1,1,4,114,At Risk
12379,58,2,692.98,3,2,3,323,Others
12380,101,4,4782.84,2,4,5,245,Loyal Customers
12385,15,1,1668.4,5,1,4,514,Others
12386,2,1,258.9,5,1,2,512,Others
12387,51,1,143.94,3,1,1,311,Others
12388,81,2,1120.45,2,2,4,224,At Risk
12389,38,3,1433.33,3,3,4,334,Potential Loyalists
12391,100,5,2285.18,2,4,5,245,Loyal Customers
12392,227,1,234.75000000000003,1,1,1,111,At Risk
12393,18,2,816.85,4,2,3,423,Others
12395,7,4,1868.64,5,4,4,544,Best Customers
12396,310,1,931.43,1,1,3,113,At Risk
12399,21,3,808.65,4,3,3,433,Potential Loyalists
12400,50,1,205.25,3,1,1,311,Others
12402,28,5,941.3,4,4,3,443,Loyal Customers
12403,157,1,555.6600000000001,2,1,3,213,At Risk
12404,318,1,63.24,1,1,1,111,At Risk
12406,35,3,2975.06,4,3,5,435,Potential Loyalists
12408,21,3,1287.22,4,3,4,434,Potential Loyalists
12409,56,4,12346.619999999999,3,4,5,345,Loyal Customers
12410,138,1,240.38,2,1,1,211,At Risk
12411,45,1,346.9,3,1,2,312,Others
12412,38,3,1262.05,3,3,4,334,Potential Loyalists
12413,38,1,185.35,3,1,1,311,Others
12414,99,1,90.0,2,1,1,211,At Risk
12415,11,4,19468.84,5,4,5,545,Best Customers
12416,292,1,202.56,1,1,1,111,At Risk
12417,46,11,2772.31,3,5,5,355,Loyal Customers
12418,49,3,1352.62,3,3,4,334,Potential Loyalists
12419,21,2,391.01,4,2,2,422,Others
12421,51,2,235.56,3,2,1,321,Others
12422,30,9,2955.79,4,5,5,455,Best Customers
12423,23,2,667.08,4,2,3,423,Others
